system,observable,overall_mean,overall_sd,mean_0_50,sd_0_50,mean_50_100,sd_50_100,mean_100_150,sd_100_150,mean_150_200,sd_150_200,max_window_shift,ols_slope_per_ns,slope_tstat,drift_over_200ns,stationary
system_A3_COA,active_site_contacts,191.2917,80.014,237.628,76.8642,194.248,79.4419,208.28,52.0911,125.74,62.2679,111.888,-0.73454,-19.8,-146.9081,DRIFT
system_A3_COA,catalytic_com_distance,3.323,0.2052,3.1166,0.2508,3.3098,0.0767,3.3396,0.0723,3.5241,0.1023,0.4075,0.002675,36.23,0.535,DRIFT
system_A6_COA,protein_rmsd,0.1831,0.0283,0.1428,0.0255,0.1838,0.0078,0.2009,0.0078,0.205,0.0049,0.0622,0.000414,49.86,0.0827,DRIFT
system_A6_COA,ligand_rmsd,0.9689,0.327,0.5022,0.3514,1.1067,0.078,1.12,0.057,1.1457,0.0653,0.6435,0.003986,31.4,0.7972,DRIFT
system_A6_COA,coa_rmsd,4.1934,2.1727,1.8687,2.7628,5.57,1.8533,4.5584,0.2602,4.7737,0.1453,3.7013,0.016482,15.43,3.2964,DRIFT
system_A6_COA,radius_of_gyration,3.3297,0.0065,3.3358,0.0061,3.3281,0.0059,3.3275,0.005,3.3275,0.0046,0.0083,-4.8e-05,-15.16,-0.0097,DRIFT
system_A6_COA,sasa,528.4727,5.8553,532.7905,5.2295,529.2733,5.3053,527.3966,5.5781,524.4729,3.7463,8.3176,-0.050688,-18.28,-10.1376,DRIFT
system_A6_COA,active_site_mindist,0.2911,0.0765,0.2448,0.0277,0.2504,0.0331,0.3301,0.0815,0.3385,0.0858,0.0937,0.000715,20.3,0.1429,DRIFT
system_A6_COA,active_site_contacts,160.5644,87.0727,237.74,64.2495,205.268,52.631,106.344,58.2749,93.24,68.0994,144.5,-1.071411,-32.0,-214.2821,DRIFT
system_A6_COA,catalytic_com_distance,3.3418,0.3204,2.8446,0.2535,3.483,0.088,3.5032,0.0535,3.5354,0.0729,0.6908,0.004184,36.4,0.8369,DRIFT
